q3,q4,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q6i,q6j,q9,q10,q11,q12a,q12b,q12c,q12d,q12e,q12f,q12g,q12h,q13a,q13b,q13c,q13d,q13e,q13f,q13g,q13h,q13i,q13j,q13k,q13l,q13m,q13n,q13o,q13p,q13q,q14,q18a,q18b,q18c,q18d,q18e,q18f,q18g,q18h,q18i,q18j,q18k,q18l,q18m,q18n,q18o,q18p,q18q,q19,q20_1_1,q20_2_1,q27a,q27b,q32,q44,q45,q46
7,1,6,1,0,0,0,0,0,0,0,0,0,6,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,3100,200,3,,,
1,1,19,0,0,0,1,1,1,0,0,0,0,6,1,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,8,7000,20,2,,,
3,1,12,1,0,0,0,0,0,0,1,0,0,6,1,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,,,,4200,200,2,1,1,2
3,1,12,0,0,0,0,0,0,1,0,0,0,6,1,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,,,,4500,20,1,1,1,3
3,1,12,1,0,0,0,0,0,0,1,0,0,6,1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,4520,50,1,1,1,4
1,1,,0,0,0,1,0,0,1,1,0,0,6,1,41,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,2,5,5049,245,3,,,
5,3,5,1,0,0,0,0,0,0,0,0,0,6,2,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,2100,0,3,,,
1,1,15,0,1,0,0,0,0,0,0,0,0,4,1,54,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,5,4,8,4000,,3,,,
1,1,15,1,1,0,0,0,0,0,0,0,0,6,1,40,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4350,20,1,,,
1,2,20,0,0,0,1,1,0,0,0,1,0,6,1,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6,2,1,4500,,3,,,
1,1,8,0,0,0,0,0,0,0,0,0,1,6,1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,6,3,2,4300,20,2,,,
1,1,8,1,0,0,0,0,0,0,0,0,0,6,1,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7,9,4600,20,2,,,
1,1,8,0,0,0,0,0,0,0,0,0,1,6,1,48,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,2,10000,200,3,,,
1,1,8,0,0,0,0,0,0,0,0,1,0,6,1,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,3,5,4000,100,3,,,
2,1,9,1,0,0,0,0,0,0,0,0,0,6,1,31,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3,8,1,5500,1000,2,,,
1,1,25,0,0,0,1,0,0,0,1,0,0,6,1,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,1,8500,30,3,,,
1,1,23,1,0,0,0,1,0,0,0,0,0,6,1,53,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,2,1,4800,200,1,,,
